city,instagramUrl,leadEngineStatus,notionStage,organizationId,profileName,sourceChannels,sourceConfidence,state,updatedAt,websiteUrl,primaryEmail,primaryPhone,primaryWhatsapp
"SAO PAULO","https://www.instagram.com/vbdadvogados/","ready_for_review","Seguir","org_55415fb03341979d","VITALE, BICALHO E DIAS SOCIEDADE DE ADVOGADOS (@vbdadvogados)","codex_fallback|oab_registry|official_site","1","SP","2026-04-28T11:42:37.413Z","https://www.vbdlaw.com.br/","contato@vbdlaw.com.br","(11) 3181-8833","+55 (11) 93364-8998"
"SAO PAULO","https://www.instagram.com/machado_associados/","ready_for_review","Seguir","org_ad6f04a21d3099b3","JOSE MAURICIO MACHADO E ASSOCIADOS ADVOGADOS E CONSULTORES JURIDICOS (@machado_associados)","codex_fallback|google_web_search|oab_registry|official_site","1","SP","2026-04-28T03:31:56.831Z","https://www.machadoassociados.com.br/","machado@machadoassociados.com.br","+55 (11) 3819-4855","+55 (11) 99373-2457"
"SAO PAULO","https://www.instagram.com/nwadv/","ready_for_review","Seguir","org_28bed0ff7a118877","NELSON WILIANS ADVOGADOS (@nwadv)","codex_fallback|oab_registry|official_site","0.96","SP","2026-04-24T02:22:14.494Z","https://nwadv.com.br/","vagner.ambrosio@nwadv.com.br","(11) 99887-9686","(11) 99887-9686"
"FORTALEZA","https://www.instagram.com/brunoaraujoadvogados/","ready_for_review","Seguir","org_web_c4c30442234c980b","BRUNO ARAÚJO SOCIEDADE DE ADVOGADOS (@brunoaraujoadvogados)","google_web_discovery|official_site","0.95","CE","2026-05-02T01:12:26.142Z","https://brunoaraujo.adv.br/","juridico@brunoaraujo.adv.br","(85) 3051-6677","(85) 98689-8073"
"FORTALEZA","https://www.instagram.com/osmarcelestinoadvogados/","ready_for_review","Seguir","org_web_e96766d315ecfefb","OSMARCELESTINO.ADV.BR – ADVOCACIA EM FORTALEZA (@osmarcelestinoadvogados)","google_web_discovery|official_site","0.95","CE","2026-05-02T01:11:54.100Z","https://osmarcelestino.adv.br/","atendimento@osmarcelestino.adv.br","","(85) 3181-7565"
"SAO PAULO","https://www.instagram.com/agsociedadedeadvogados/","ready_for_review","Seguir","org_web_85ac2b095e5b6513","AG SOCIEDADE DE ADVOGADOS (@agsociedadedeadvogados)","google_web_discovery|official_site","0.95","SP","2026-05-02T01:10:46.942Z","https://agadvogados.adv.br/","contato@agadvogados.adv.br","(85) 3268-1561","(85) 98774-0201"
"JOINVILLE","https://www.instagram.com/souzapostaiadv/","ready_for_review","Seguir","org_web_4a67ebc969ca726b","SOUZA POSTAI – ESCRITÓRIO DE ADVOCACIA (@souzapostaiadv)","google_web_discovery|official_site","0.95","SC","2026-05-01T23:06:20.467Z","https://souzapostai.com.br/","advocacia@souzapostai.com.br","(47) 99948-9388","(47) 99948-9388"
"JOINVILLE","https://www.instagram.com/hargeradvogados/","ready_for_review","Seguir","org_web_ef9201e0563bd115","HARGER ADVOGADOS (@hargeradvogados)","google_web_discovery|official_site","0.95","SC","2026-05-01T23:06:20.405Z","https://hargeradvogados.com.br/","contato@hargeradvogados.com.br","(47) 3461-9400","(47) 3461-9400"
"JOINVILLE","https://www.instagram.com/rhafaelcostaadv/","ready_for_review","Seguir","org_web_a9c061815d6cbb8b","RHAFAELCOSTA – SERVIÇOS DE ADVOCACIA E ASSESSORIA JURÍDICA. (@rhafaelcostaadv)","google_web_discovery|official_site","0.95","SC","2026-05-01T23:06:01.349Z","https://rhafaelcosta.com.br/","rhafael.costa@rhafaelcosta.com.br","",""
"CAXIAS DO SUL","https://www.instagram.com/konigepimentel.adv/","ready_for_review","Seguir","org_web_16beaebcf6f9565e","ADVOGADOS EM CAXIAS DO SUL (@konigepimentel.adv)","google_web_discovery|official_site","0.95","RS","2026-05-01T21:47:04.352Z","https://konigepimentel.adv.br/","contato@konigepimentel.adv.br","(54) 3537-9117","(54) 3537-9117"
